ICD-9-CM CODE,CCS CATEGORY,CCS CATEGORY DESCRIPTION,ICD-9-CM CODE DESCRIPTION
56.85,112,OR Rx urin,URETEROPEXY
56.86,112,OR Rx urin,REMOVE URETERAL LIGATURE
56.89,112,OR Rx urin,REPAIR OF URETER NEC
56.92,112,OR Rx urin,IMPLANT URETERAL STIMUL
56.93,112,OR Rx urin,REPLACE URETERAL STIMUL
56.94,112,OR Rx urin,REMOVE URETERAL STIMULAT
56.95,112,OR Rx urin,LIGATION OF URETER
56.99,112,OR Rx urin,URETERAL OPERATION NEC
57.12,112,OR Rx urin,CYSTOTOMY & ADHESIOLYSIS
57.18,112,OR Rx urin,OTHER SUPRAPU CYSTOSTOMY (Begin 1989)
57.19,112,OR Rx urin,CYSTOTOMY NEC
57.21,112,OR Rx urin,CYSTOSTOMY (Begin 1989)
57.22,112,OR Rx urin,REVISE CYSTOSTOMY (Begin 1989)
57.51,112,OR Rx urin,EXCISION OF URACHUS
57.59,112,OR Rx urin,BLADDER LES DESTRUCT NEC
57.6,112,OR Rx urin,PARTIAL CYSTECTOMY
57.71,112,OR Rx urin,RADICAL CYSTECTOMY
57.79,112,OR Rx urin,TOTAL CYSTECTOMY NEC
57.81,112,OR Rx urin,SUTURE BLADDER LACERAT
57.82,112,OR Rx urin,CYSTOSTOMY CLOSURE
57.83,112,OR Rx urin,ENTEROVESICO FIST REPAIR
57.84,112,OR Rx urin,VESIC FISTULA REPAIR NEC
57.85,112,OR Rx urin,CYSTOURETHROPLASTY
57.86,112,OR Rx urin,BLADDER EXSTROPHY REPAIR
57.87,112,OR Rx urin,BLADDER RECONSTRUCTION
57.88,112,OR Rx urin,BLADDER ANASTOMOSIS NEC
57.89,112,OR Rx urin,BLADDER REPAIR NEC
57.91,112,OR Rx urin,BLADDER SPHINCTEROTOMY
57.93,112,OR Rx urin,CONTROL BLADD HEMORRHAGE
57.96,112,OR Rx urin,IMPLANT BLADDER STIMULAT
57.97,112,OR Rx urin,REPLACE BLADDER STIMULAT
57.98,112,OR Rx urin,REMOVE BLADDER STIMULAT
57.99,112,OR Rx urin,BLADDER OPERATION NEC
59.00,112,OR Rx urin,RETROPERIT DISSECT NOS
59.01,112,OR Rx urin,URETEROLYS FOR FIBROSIS
59.02,112,OR Rx urin,PERIREN ADHESIOLYS NEC
59.03,112,OR Rx urin,LAPAROSC LYSIS VESC ADH (Begin 1996)
59.09,112,OR Rx urin,PERIREN/URETER INCIS NEC
59.11,112,OR Rx urin,PERIVESICAL ADHESIOLYSIS
59.12,112,OR Rx urin,OTH LYSUS VESICAL ADH (Begin 1996)
59.19,112,OR Rx urin,PERIVESICAL INCISION NEC
59.91,112,OR Rx urin,PERIREN/VESICLE EXCISION
59.92,112,OR Rx urin,PERIREN/VESICLE OP NEC
60.2,113,TURP,TRANSURETHRAL PROSTATECT (End 1995)
60.21,113,TURP,TRANSUR ULTRAS LASER PROST (Begin 1995)
60.29,113,TURP,OTHER TURP (Begin 1995)
60.96,113,TURP,TRANSUR MICROWAVE THERMO PROSTATECT (Begin 2000)
60.97,113,TURP,TRANSUR OTHER THERMO PROSTATECT (Begin 2000)
60.3,114,Opn prostect,SUPRAPUBIC PROSTATECTOMY
60.4,114,Opn prostect,RETROPUBIC PROSTATECTOMY
60.5,114,Opn prostect,RADICAL PROSTATECTOMY
60.61,114,Opn prostect,LOS EXCIS PROSTATIC LES
60.62,114,Opn prostect,PERINEAL PROSTATECTOMY
60.69,114,Opn prostect,PROSTATECTOMY NEC
64.0,115,Circumcision,CIRCUMCISION
60.11,116,Dx male gen,CLOSED PROSTATIC BX
60.12,116,Dx male gen,OPEN PROSTATIC BX
60.13,116,Dx male gen,CLOS SEMINAL VES BX
60.14,116,Dx male gen,OPEN SEMINAL VES BX
60.15,116,Dx male gen,PERIPROSTATIC BIOPSY
60.18,116,Dx male gen,PROSTATIC DX PROCED NEC
60.19,116,Dx male gen,SEMIN VES DX PROCED NEC
61.11,116,Dx male gen,SCROTUM & TUNICA BIOPSY
61.19,116,Dx male gen,SCROT/TUNICA DX PROC NEC
62.11,116,Dx male gen,CLOSED TESTICULAR BIOPSY
62.12,116,Dx male gen,OPEN TESTICULAR BIOPSY
62.19,116,Dx male gen,TESTES DX PROCEDURE NEC
63.01,116,Dx male gen,SPERMATIC CORD/VAS BIOPS
63.09,116,Dx male gen,SPERMAT CORD/VAS DX NEC
64.11,116,Dx male gen,PENILE BIOPSY
64.19,116,Dx male gen,PENILE DIAGNOST PROC NEC
60.71,117,nOR male gen,PERCUT SEMIN VES ASPIRAT
60.91,117,nOR male gen,PERCUT PROSTATIC ASPIRAT
60.92,117,nOR male gen,INJECTION INTO PROSTATE
60.95,117,nOR male gen,TRANS BAL DIL PROS URETH (Begin 1991)
61.0,117,nOR male gen,SCROTUM & TUNICA I & D
61.3,117,nOR male gen,SCROTAL LES DESTRUCTION
61.41,117,nOR male gen,SUTURE SCROTAL LACERAT
61.91,117,nOR male gen,PERCUT TUNICA ASPIRATION
62.91,117,nOR male gen,ASPIRATION OF TESTES
62.92,117,nOR male gen,INJECTION INTO TESTES
63.52,117,nOR male gen,REDUCTION TORSION TESTES
63.6,117,nOR male gen,VASOTOMY
63.70,117,nOR male gen,MALE STERILIZATION NOS
63.71,117,nOR male gen,LIGATION OF VAS DEFERENS
63.72,117,nOR male gen,SPERMATIC CORD LIGATION
63.73,117,nOR male gen,VASECTOMY
63.84,117,nOR male gen,REMOVAL VAS LIGATURE
63.91,117,nOR male gen,SPERMATOCELE ASPIRATION
64.91,117,nOR male gen,DORSAL/LAT SLIT PREPUCE
64.94,117,nOR male gen,FIT EXT PENILE PROSTHES
99.94,117,nOR male gen,PROSTATIC MASSAGE
99.95,117,nOR male gen,STRETCHING OF FORESKIN
99.96,117,nOR male gen,SPERM COLLECTION
60.0,118,OR male gen,INCISION OF PROSTATE
60.72,118,OR male gen,SEMINAL VESICLE INCISION
60.73,118,OR male gen,SEMINAL VESICLE EXCISION
60.79,118,OR male gen,SEMINAL VESICLE OP NEC
60.81,118,OR male gen,PERIPROSTATIC INCISION
60.82,118,OR male gen,PERIPROSTATIC EXCISION
60.93,118,OR male gen,REPAIR OF PROSTATE
60.94,118,OR male gen,CONTROL POSTOP PROST HEM
60.99,118,OR male gen,PROSTATIC OPERATION NEC
61.2,118,OR male gen,EXCISION OF HYDROCELE
61.42,118,OR male gen,SCROTAL FISTULA REPAIR
61.49,118,OR male gen,SCROTUM/TUNIC REPAIR NEC
61.92,118,OR male gen,EXCISION TUNICA LES NEC
61.99,118,OR male gen,SCROTUM & TUNICA OP NEC
62.0,118,OR male gen,INCISION OF TESTES
62.2,118,OR male gen,TESTICULAR LES DESTRUCT
62.3,118,OR male gen,UNILATERAL ORCHIECTOMY
62.41,118,OR male gen,REMOVE BOTH TESTES
62.42,118,OR male gen,REMOVE SOLITARY TESTIS
62.5,118,OR male gen,ORCHIOPEXY
62.61,118,OR male gen,SUTURE TESTICULAR LACER
62.69,118,OR male gen,TESTICULAR REPAIR NEC
62.7,118,OR male gen,INSERT TESTICULAR PROSTH
62.99,118,OR male gen,TESTICULAR OPERATION NEC
63.1,118,OR male gen,EXC SPERMATIC VARICOCELE
63.2,118,OR male gen,EXCISE EPIDIDYMIS CYST
63.3,118,OR male gen,EXCISE CORD/EPID LES NEC
63.4,118,OR male gen,EPIDIDYMECTOMY
63.51,118,OR male gen,SUTURE CORD & EPID LACER
63.53,118,OR male gen,TRANSPLANT SPERMAT CORD
63.59,118,OR male gen,CORD & EPIDID REPAIR NEC
63.81,118,OR male gen,SUTURE VAS & EPIDID LAC
63.82,118,OR male gen,POSTOP VAS RECONSTRUCT
63.83,118,OR male gen,EPIDIDYMOVASOSTOMY
63.85,118,OR male gen,REMOV VAS DEFERENS VALVE
63.89,118,OR male gen,VAS & EPIDIDY REPAIR NEC
63.92,118,OR male gen,EPIDIDYMOTOMY
63.93,118,OR male gen,SPERMATIC CORD INCISION
63.94,118,OR male gen,SPERM CORD ADHESIOLYSIS
63.95,118,OR male gen,INSERT VALVE IN VAS DEF
63.99,118,OR male gen,CORD/EPID/VAS OPS NEC
64.2,118,OR male gen,LOCAL EXCIS PENILE LES
64.3,118,OR male gen,AMPUTATION OF PENIS
64.41,118,OR male gen,SUTURE PENILE LACERATION
64.42,118,OR male gen,RELEASE OF CHORDEE
64.43,118,OR male gen,CONSTRUCTION OF PENIS
64.44,118,OR male gen,RECONSTRUCTION OF PENIS
64.45,118,OR male gen,REPLANTATION OF PENIS
64.49,118,OR male gen,PENILE REPAIR NEC
64.5,118,OR male gen,SEX TRANSFORMAT OP NEC
64.92,118,OR male gen,INCISION OF PENIS
64.93,118,OR male gen,DIVISION OF PENILE ADHES
64.95,118,OR male gen,INS NONINFL PENIS PROSTH
64.96,118,OR male gen,REMOVE INT PENILE PROSTH
64.97,118,OR male gen,INS INFLATE PENIS PROSTH (Begin 1986)
64.98,118,OR male gen,PENILE OPERATION NEC
64.99,118,OR male gen,MALE GENITAL OP NEC
65.3,119,Oophorectomy,UNILATERAL OOPHORECTOMY (End 1996)
65.31,119,Oophorectomy,LAPARSC OOPHECTOMY UNI (Begin 1996)
65.39,119,Oophorectomy,OTH LAPARSC OOPHECT UNI (Begin 1996)
65.4,119,Oophorectomy,UNILAT SALPINGO-OOPHOREC (End 1996)
65.41,119,Oophorectomy,LAPAR SALP OOPH UNI (Begin 1996)
65.49,119,Oophorectomy,OTH SALP OOPH UNI (Begin 1996)
65.51,119,Oophorectomy,REMOVE BOTH OVARIES
65.52,119,Oophorectomy,REMOVE SOLITARY OVARY
65.53,119,Oophorectomy,LAPAR BIL OOPH (Begin 1996)
65.54,119,Oophorectomy,LAPAR REMOV REMAIN OV (Begin 1996)
65.61,119,Oophorectomy,REMOVE BOTH TUBES & OVAR
65.62,119,Oophorectomy,REMOVE SOLITARY TUBE/OVA
65.63,119,Oophorectomy,LAPAR REMOV SALP OV BIL (Begin 1996)
65.64,119,Oophorectomy,LAPAR REMV SALP OV REM (Begin 1996)
65.0,120,Ot prc ovary,OOPHOROTOMY (End 1996)
65.01,120,Ot prc ovary,LAPAROSC OOPHOROTOMY (Begin 1996)
65.09,120,Ot prc ovary,OTHER OOPHOROTOMY (Begin 1996)
65.21,120,Ot prc ovary,OVARIAN CYST MARSUPIALIZ
65.22,120,Ot prc ovary,OVARIAN WEDGE RESECTION
65.23,120,Ot prc ovary,LAPAR MARSUP OVARY (Begin 1996)
65.24,120,Ot prc ovary,LAPAR WEDGE RESCT OV (Begin 1996)
65.25,120,Ot prc ovary,OTH LAPAR EXCIS OV (Begin 1996)
65.29,120,Ot prc ovary,LOCAL DESTR OVA LES NEC
65.71,120,Ot prc ovary,SIMPLE SUTURE OF OVARY
65.72,120,Ot prc ovary,OVARIAN REIMPLANTATION
65.73,120,Ot prc ovary,SALPINGO-OOPHOROPLASTY
65.74,120,Ot prc ovary,LAPAR SUTURE OV (Begin 1996)
65.75,120,Ot prc ovary,LAPAR REIMPLANT OV (Begin 1996)
65.76,120,Ot prc ovary,LAPAR SALP-OOPHPLASTY (Begin 1996)
65.79,120,Ot prc ovary,REPAIR OF OVARY NEC
65.8,120,Ot prc ovary,TUBO-OVARIAN ADHESIOLYS (End 1996)
65.81,120,Ot prc ovary,LAPAR LYSIS ADHES OV (Begin 1996)
65.89,120,Ot prc ovary,OTH LYSIS ADHES OV (Begin 1996)
65.91,120,Ot prc ovary,ASPIRATION OF OVARY
65.92,120,Ot prc ovary,TRANSPLANTATION OF OVARY
65.93,120,Ot prc ovary,MANUAL RUPT OVARIAN CYST
65.94,120,Ot prc ovary,OVARIAN DENERVATION
65.95,120,Ot prc ovary,OVARIAN TORSION RELEASE
65.99,120,Ot prc ovary,OVARIAN OPERATION NEC
66.21,121,Ligat fallop,BILAT ENDOSC CRUSH TUBE
66.22,121,Ligat fallop,BILAT ENDOSC DIVIS TUBE
66.29,121,Ligat fallop,BILAT ENDOS OCC TUBE NEC
66.31,121,Ligat fallop,BILAT TUBAL CRUSHING NEC
66.32,121,Ligat fallop,BILAT TUBAL DIVISION NEC
66.39,121,Ligat fallop,BILAT TUBAL DESTRUCT NEC
66.62,122,Rem ectp prg,REMOV TUBE & ECTOP PREG
69.11,122,Rem ectp prg,REMOVE INTRALIG ECT PREG (End 1992)
74.3,122,Rem ectp prg,REMOV INTRAPERIT FETUS (Begin 1992)
66.4,123,Ot prs fallo,TOTAL UNILAT SALPINGECT
66.51,123,Ot prs fallo,REMOVE BOTH FALLOP TUBES
66.52,123,Ot prs fallo,REMOVE SOLITARY FAL TUBE
66.61,123,Ot prs fallo,DESTROY FALLOP TUBE LES
66.63,123,Ot prs fallo,BILAT PART SALPINGEC NOS
66.69,123,Ot prs fallo,PARTIAL SALPINGECTOM NEC
66.71,123,Ot prs fallo,SIMPL SUTURE FALLOP TUBE
66.72,123,Ot prs fallo,SALPINGO-OOPHOROSTOMY
66.73,123,Ot prs fallo,SALPINGO-SALPINGOSTOMY
66.74,123,Ot prs fallo,SALPINGO-UTEROSTOMY
66.79,123,Ot prs fallo,FALLOP TUBE REPAIR NEC
66.8,123,Ot prs fallo,FALLOPIAN TUBE INSUFFLAT
66.91,123,Ot prs fallo,FALLOPIAN TUBE ASPIRAT
66.92,123,Ot prs fallo,UNILAT FALLOP TUBE DESTR
66.93,123,Ot prs fallo,IMPL FALLOP TUBE PROSTH
66.94,123,Ot prs fallo,REMOV FALLOP TUBE PROSTH
66.95,123,Ot prs fallo,BLOW THERAPEUT INTO TUBE
66.96,123,Ot prs fallo,FALLOPIAN TUBE DILATION
66.97,123,Ot prs fallo,BURY FIMBRIAE IN UTERUS
66.99,123,Ot prs fallo,FALLOPIAN TUBE OP NEC
68.3,124,Hysterectomy,SUBTOT ABD HYSTERECTOMY (End 2003)
68.31,124,Hysterectomy,LAPAROSCOPIC SUPRACERVICAL HYSTERECTOMY (LSH) (Begin 2003)
68.39,124,Hysterectomy,OTHER SUBTOTAL ABDOMINAL HYSTERECTOMY; NOS (Begin 2003)
68.4,124,Hysterectomy,TOTAL ABD HYSTERECTOMY
68.41,124,Hysterectomy,LAP TOTAL ABDOMINAL HYST (Begin 2006)
68.49,124,Hysterectomy,TOTAL ABD HYST NEC/NOS (Begin 2006)
68.5,124,Hysterectomy,VAGINAL HYSTERECTOMY (End 1996)
68.51,124,Hysterectomy,LAPAR ASSIST VAG HYS (Begin 1996)
68.59,124,Hysterectomy,OTH VAG HYS (Begin 1996)
68.6,124,Hysterectomy,RADICAL ABD HYSTERECTOMY
68.61,124,Hysterectomy,LAP RADICAL ABDOMNL HYST (Begin 2006)
68.69,124,Hysterectomy,RADICAL ABD HYST NEC/NOS (Begin 2006)
68.7,124,Hysterectomy,RADICAL VAG HYSTERECTOMY
68.71,124,Hysterectomy,LAP RADICAL VAGINAL HYST (Begin 2006)
68.79,124,Hysterectomy,RADICAL VAG HYST NEC/NOS (Begin 2006)
68.9,124,Hysterectomy,OTHER UNSPEC HYSTERECTOMY (Begin 1992)
67.2,125,Ot excis ut,CONIZATION OF CERVIX
67.31,125,Ot excis ut,CERVICAL CYST MARSUPIAL
67.32,125,Ot excis ut,CERVICAL LES CAUTERIZAT
67.33,125,Ot excis ut,CERVICAL LES CRYOTHERAPY
67.39,125,Ot excis ut,CERVICAL LES DESTRUC NEC
67.4,125,Ot excis ut,AMPUTATION OF CERVIX
68.21,125,Ot excis ut,ENDOMET SYNECHIAE DIVIS
68.22,125,Ot excis ut,INCISION UTERINE SEPTUM
68.23,125,Ot excis ut,ENDOMETRIAL ABLATION (Begin 1996)
68.29,125,Ot excis ut,UTERINE LES DESTRUCT NEC
69.19,125,Ot excis ut,DESTRUC UTER SUPPORT NEC
69.01,126,Abortion,D & C FOR PREG TERMINAT
69.51,126,Abortion,ASPIRAT CURET-PREG TERMI
74.91,126,Abortion,HYSTEROTOMY TO TERMIN PG
75.0,126,Abortion,INTRA-AMNION INJ FOR AB
69.02,127,Rx D&C,D & C POST DELIVERY
69.52,127,Rx D&C,ASPIRAT CURET-POST DELIV
69.09,128,Dx D&C,D & C NEC
70.50,129,Rep cystocel,CYSTOCEL/RECTOCEL REPAIR
70.51,129,Rep cystocel,CYSTOCELE REPAIR
70.52,129,Rep cystocel,RECTOCELE REPAIR
70.53,129,Rep cystocel,CYSTO & RECTO W GRF/PROS (Begin 2007)
70.54,129,Rep cystocel,REP CYSTOCEL W GRFT/PROS (Begin 2007)
70.55,129,Rep cystocel,REP RECTOCELE W GRF/PROS (Begin 2007)
70.8,129,Rep cystocel,VAGINAL VAULT OBLITERAT
65.11,130,Ot Dx female,OVARIAN ASPIRAT BIOPSY
65.12,130,Ot Dx female,OVARIAN BIOPSY NEC
65.13,130,Ot Dx female,LAPAR BX OVARY (Begin 1996)
65.14,130,Ot Dx female,OTH LAPAR DX PROCS (Begin 1996)
65.19,130,Ot Dx female,OVARIAN DX PROCEDURE NEC
66.11,130,Ot Dx female,FALLOPIAN TUBE BIOPSY
66.19,130,Ot Dx female,FALLOP TUBE DX PROC NEC
67.11,130,Ot Dx female,ENDOCERVICAL BIOPSY
67.12,130,Ot Dx female,CERVICAL BIOPSY NEC
67.19,130,Ot Dx female,CERVICAL DX PROCEDUR NEC
68.11,130,Ot Dx female,DIGITAL EXAM OF UTERUS
68.12,130,Ot Dx female,HYSTEROSCOPY
68.13,130,Ot Dx female,OPEN UTERINE BIOPSY
68.14,130,Ot Dx female,OPEN UTERINE LIGAMENT BX
68.15,130,Ot Dx female,CLOS UTERINE LIGAMENT BX (Begin 1987)
68.16,130,Ot Dx female,CLOSED UTERINE BIOPSY (Begin 1987)
68.19,130,Ot Dx female,UTERUS/ADNEX DX PROC NEC
70.21,130,Ot Dx female,VAGINOSCOPY
70.22,130,Ot Dx female,CULDOSCOPY
70.23,130,Ot Dx female,CUL-DE-SAC BIOPSY
70.24,130,Ot Dx female,VAGINAL BIOPSY
70.29,130,Ot Dx female,VAGIN/CUL-DE-SAC DX NEC
71.11,130,Ot Dx female,VULVAR BIOPSY
71.19,130,Ot Dx female,VULVAR DIAGNOS PROC NEC
67.0,131,nOR female,CERVICAL CANAL DILATION
69.59,131,nOR female,ASPIR CURETT UTERUS NEC
69.6,131,nOR female,MENSTRUAL EXTRACTION
69.7,131,nOR female,INSERTION OF IUD
69.91,131,nOR female,INSERT UTERINE DEVICE
69.92,131,nOR female,ARTIFICIAL INSEMINATION
69.93,131,nOR female,INSERTION OF LAMINARIA
69.94,131,nOR female,MAN REPLACE INVERT UTER
69.96,131,nOR female,REMOVE CERVICAL CERCLAGE
70.0,131,nOR female,CULDOCENTESIS
70.11,131,nOR female,HYMENOTOMY
71.21,131,nOR female,PERCUTAN BARTHOLIN ASPIR
96.14,131,nOR female,VAGINAL PACKING
96.15,131,nOR female,VAGINAL MOLD INSERTION
96.16,131,nOR female,OT VAGINAL DILATION
96.17,131,nOR female,VAG DIAPHRAGM INSERTION
96.18,131,nOR female,OTH VAGIN PESSARY INSERT
96.44,131,nOR female,VAGINAL DOUCHE
97.24,131,nOR female,REPLACE VAG DIAPHRAGM
97.25,131,nOR female,REPLACE VAGINAL PESSARY
97.26,131,nOR female,REPLACE VAG/VULV PACKING
97.71,131,nOR female,REMOVAL IUD
97.72,131,nOR female,REMOV INTRAUTERINE PACK
97.73,131,nOR female,REMOV VAGINAL DIAPHRAGM
97.74,131,nOR female,REMOVAL OTH VAG PESSARY
97.75,131,nOR female,REMOV VAG/VULV PACKING
66.0,132,OR female,SALPINGOTOMY (Begin 1980 End 1992)
66.01,132,OR female,SALPINGOTOMY (Begin 1992)
66.02,132,OR female,SALPINGOSTOMY (Begin 1992)
67.5,132,OR female,INT CERVICAL OS REPAIR (End 2001)
67.61,132,OR female,SUTURE CERVICAL LACERAT
67.62,132,OR female,CERVICAL FISTULA REPAIR
67.69,132,OR female,CERVICAL REPAIR NEC
68.0,132,OR female,HYSTEROTOMY
68.8,132,OR female,PELVIC EVISCERATION
69.21,132,OR female,INTERPOSIT OP UTERIN LIG
69.22,132,OR female,UTERINE SUSPENSION NEC
69.23,132,OR female,VAG REPAIR INVERS UTERUS
69.29,132,OR female,UTERUS/ADNEXA REPAIR NEC
69.3,132,OR female,PARACERV UTERINE DENERV
69.41,132,OR female,SUTURE UTERINE LACERAT
69.42,132,OR female,CLOSURE UTERINE FISTULA
69.49,132,OR female,UTERINE REPAIR NEC
69.95,132,OR female,INCISION OF CERVIX
69.97,132,OR female,REMOVE PENETRAT CERV FB
69.98,132,OR female,UTERINE SUPPORT OP NEC
69.99,132,OR female,UTERINE OPERATION NEC
70.12,132,OR female,CULDOTOMY
70.13,132,OR female,INTRALUM VAG ADHESIOLYS
70.14,132,OR female,VAGINOTOMY NEC
70.31,132,OR female,HYMENECTOMY
70.32,132,OR female,EXCIS CUL-DE-SAC LESION
70.33,132,OR female,EXCISION VAGINAL LESION
70.4,132,OR female,VAGINAL OBLITERATION
70.61,132,OR female,VAGINAL CONSTRUCTION
70.62,132,OR female,VAGINAL RECONSTRUCTION
70.63,132,OR female,VAGINAL CONST W GRF/PROS (Begin 2007)
70.64,132,OR female,VAG RECONST W GRFT/PROS (Begin 2007)
70.71,132,OR female,SUTURE VAGINA LACERATION
70.72,132,OR female,REPAIR COLOVAGIN FISTULA
70.73,132,OR female,REPAIR RECTOVAG FISTULA
70.74,132,OR female,REP VAGINOENT FISTUL NEC
70.75,132,OR female,REPAIR VAG FISTULA NEC
70.76,132,OR female,HYMENORRHAPHY
70.77,132,OR female,VAGINAL SUSPENS & FIXAT
70.78,132,OR female,VAG SUSP/FIX W GRFT/PROS (Begin 2007)
70.79,132,OR female,VAGINAL REPAIR NEC
70.91,132,OR female,VAGINAL OPERATION NEC
70.92,132,OR female,CUL-DE-SAC OPERATION NEC
70.93,132,OR female,CUL-DE-SAC GRF/PROS NEC (Begin 2007)
70.94,132,OR female,INSERT BIOLOGICAL GRAFT (Begin 2007)
70.95,132,OR female,INSERT SYNTH GRAFT/PROST (Begin 2007)
71.01,132,OR female,VULVAR ADHESIOLYSIS
71.09,132,OR female,INCIS VULVA/PERINEUM NEC
71.22,132,OR female,INCISE BARTHOLINS GLAND
71.23,132,OR female,BARTHOLIN GLAND MARSUP
71.24,132,OR female,DESTRUC BARTHOLIN GLAND
71.29,132,OR female,BARTHOLINS GLAND OP NEC
71.3,132,OR female,LOCAL VULVAR EXCIS NEC
71.4,132,OR female,OPERATIONS ON CLITORIS
71.5,132,OR female,RADICAL VULVECTOMY
71.61,132,OR female,UNILATERAL VULVECTOMY
71.62,132,OR female,BILATERAL VULVECTOMY
71.71,132,OR female,SUTURE VULVAR LACERATION
71.72,132,OR female,REPAIR VULVAR FISTULA
71.79,132,OR female,VULVAR/PERIN REPAIR NEC
71.8,132,OR female,OT VULVAR OPERATIONS
71.9,132,OR female,OT FEMALE GENITAL OPS
73.6,133,Episiotomy,EPISIOTOMY
74.0,134,C-section,CLASSICAL C-SECTION
74.1,134,C-section,LOW CERVICAL C-SECTION
74.2,134,C-section,EXTRAPERITONEAL C-SECT
74.4,134,C-section,CESAREAN SECTION NEC
74.99,134,C-section,CESAREAN SECTION NOS
72.0,135,Forceps brch,LOW FORCEPS OPERATION
72.1,135,Forceps brch,LOW FORCEPS W EPISIOTOMY
72.21,135,Forceps brch,MID FORCEPS W EPISIOTOMY
72.29,135,Forceps brch,MID FORCEPS OP NEC
72.31,135,Forceps brch,HIGH FORCEPS W EPISIOT
72.39,135,Forceps brch,HIGH FORCEPS OP NEC
72.4,135,Forceps brch,FORCEPS ROTAT FETAL HEAD
72.51,135,Forceps brch,PART BRCH EXTRAC W FORCP
72.52,135,Forceps brch,PART BREECH EXTRACT NEC
72.53,135,Forceps brch,TOT BRCH EXTRAC W FORCEP
72.54,135,Forceps brch,TOT BREECH EXTRAC NEC
72.6,135,Forceps brch,FORCEPS-AFTERCOMING HEAD
72.71,135,Forceps brch,VACUUM EXT DEL W EPISIOT
72.79,135,Forceps brch,VACUUM EXTRACT DEL NEC
72.8,135,Forceps brch,INSTRUMENT DELIVERY NEC
72.9,135,Forceps brch,INSTRUMENT DELIVERY NOS
73.3,135,Forceps brch,FAILED FORCEPS
73.01,136,Art rup mem,INDUCT LABOR-RUPT MEMB
73.09,136,Art rup mem,ARTIF RUPT MEMBRANES NEC
73.1,137,Ot asst del,SURG INDUCT LABOR NEC
73.21,137,Ot asst del,INT/COMB VERSION NO EXTR
73.22,137,Ot asst del,INT/COMB VERSION W EXTR
73.4,137,Ot asst del,MEDICAL INDUCTION LABOR
73.51,137,Ot asst del,MANUAL ROTAT FETAL HEAD
73.59,137,Ot asst del,MANUAL ASSIST DELIV NEC
73.8,137,Ot asst del,FETAL OPS-FACILITATE DEL
73.91,137,Ot asst del,EXT VERSION-ASSIST DELIV
73.92,137,Ot asst del,REPLACE PROLAPSED CORD
73.93,137,Ot asst del,INCIS CX TO ASSIST DELIV
73.94,137,Ot asst del,PUBIOTOMY TO ASSIST DEL
73.99,137,Ot asst del,OPS ASSISTING DELIV NEC
75.1,138,Dx amnio,DIAGNOSTIC AMNIOCENTESIS
75.31,139,Fetal monit,AMNIOSCOPY
75.32,139,Fetal monit,FETAL EKG
75.33,139,Fetal monit,FETAL BLOOD SAMPLE/BX
75.34,139,Fetal monit,FETAL MONITORING NOS
75.35,139,Fetal monit,DX PROC FETUS/AMNION NEC
75.38,139,Fetal monit,FETAL PULSE OXIMETRY (Begin 2001)
75.50,140,OB lacerat,REPAIR OB LAC UTERUS NOS
75.51,140,OB lacerat,REPAIR OB LACERAT CERVIX
75.52,140,OB lacerat,REPAIR OB LAC CORP UTERI
75.61,140,OB lacerat,REPAIR OB LAC BLAD/URETH
75.62,140,OB lacerat,REPAIR OB LAC RECT/ANUS
75.69,140,OB lacerat,REPAIR OB LACERATION NEC
67.51,141,Rx OB procs,TRANSABDOMINAL CERCLAGE OF CERVIX (Begin 2001)
67.59,141,Rx OB procs,OTHER REPAIR OF INT CERVICAL OS (Begin 2001)
75.2,141,Rx OB procs,INTRAUTERINE TRANSFUSION
75.36,141,Rx OB procs,CORRECTION FETAL DEFECT
75.37,141,Rx OB procs,AMNIOINFUSION (Begin 1998)
75.4,141,Rx OB procs,MANUAL REMOVAL-PLACENTA
75.7,141,Rx OB procs,MANUAL EXPLOR UTERUS P/P
75.8,141,Rx OB procs,OB TAMPONADE UTERUS/VAG
75.91,141,Rx OB procs,EVAC OB INC HEMAT PERIN
75.92,141,Rx OB procs,EVAC OB HEMAT VULVA/VAG
75.93,141,Rx OB procs,SURG CORR INVERT UTERUS
75.94,141,Rx OB procs,MAN REPLAC INVERT UTERUS
75.99,141,Rx OB procs,OBSTETRIC OPERATION NEC
76.01,142,Excis bone,FACIAL BONE SEQUESTRECT
76.2,142,Excis bone,DESTRUCT FACIAL BONE LES
76.31,142,Excis bone,PARTIAL MANDIBULECTOMY
76.39,142,Excis bone,PART FACIAL OSTECTOM NEC
77.60,142,Excis bone,LOC EXC BONE LESION NOS
77.61,142,Excis bone,EXC CHEST CAGE BONE LES
77.62,142,Excis bone,LOC EXC BONE LES HUMERUS
77.63,142,Excis bone,LOC EXC LES RADIUS/ULNA
77.64,142,Excis bone,LOC EXC LES METACAR/CAR
77.65,142,Excis bone,LOC EXC BONE LES FEMUR
77.66,142,Excis bone,LOC EXC BONE LES PATELLA
77.67,142,Excis bone,LOC EXC LES TIBIA/FIBULA
77.68,142,Excis bone,LOC EXC LES METATAR/TAR
77.69,142,Excis bone,LOC EXC BONE LESION NEC
77.70,142,Excis bone,EXCISE BONE FOR GRFT NOS
77.71,142,Excis bone,EX CHEST CAGE BONE-GFT
77.72,142,Excis bone,EXCISE HUMERUS FOR GRAFT
